startsecond	text
15.26	I'm a contemporary artist
17.26	with a bit of an unexpected background.
19.26	I was in my 20s before I ever went to an art museum.
22.26	I grew up in the middle of nowhere
24.26	on a dirt road in rural Arkansas,
26.26	an hour from the nearest movie theater.
28.26	And I think it was a great place to grow up as an artist
31.26	because I grew up around quirky, colorful characters
34.26	who were great at making with their hands.
37.26	And my childhood is more hick
39.26	than I could ever possibly relate to you,
41.26	and also more intellectual than you would ever expect.
44.26	For instance, me and my sister, when we were little,
46.26	we would compete to see who could eat the most squirrel brains.
49.26	(Laughter)
51.26	But on the other side of that, though,
53.26	we were big readers in our house.
55.26	And if the TV was on, we were watching a documentary.
59.26	And my dad is the most voracious reader I know.
62.26	He can read a novel or two a day.
64.26	But when I was little, I remember,
66.26	he would kill flies in our house with my BB gun.
69.26	And what was so amazing to me about that --
71.26	well he would be in his recliner, would holler for me to fetch the BB gun,
74.26	and I'd go get it.
76.26	And what was amazing to me --
78.26	well it was pretty kickass; he was killing a fly in the house with a gun --
81.26	but what was so amazing to me
83.26	was that he knew just enough how to pump it.
85.26	And he could shoot it from two rooms away
88.26	and not damage what it was on
91.26	because he knew how to pump it just enough to kill the fly
93.26	and not damage what it landed on.
98.26	So I should talk about art.
100.26	(Laughter)
102.26	Or we'll be here all day with my childhood stories.
106.26	I love contemporary art,
108.26	but I'm often really frustrated with the contemporary art world
110.26	and the contemporary art scene.
112.26	A few years ago,
114.26	I spent months in Europe
116.26	to see the major international art exhibitions
119.26	that have the pulse
121.26	of what is supposed to be going on in the art world.
123.26	And I was struck
125.26	by going to so many, one after the other,
128.26	with some clarity of what it was
130.26	that I was longing for.
132.26	And I was longing for several things that I wasn't getting,
134.26	or not getting enough of.
136.26	But two of the main things:
138.26	one of it, I was longing for more work
140.26	that was appealing to a broad public,
142.26	that was accessible.
144.26	And the second thing that I was longing for
146.26	was some more exquisite craftsmanship
148.26	and technique.
151.26	So I started thinking and listing
154.26	what all it was that I thought would make a perfect biennial.
157.26	So I decided,
159.26	I'm going to start my own biennial.
161.26	I'm going to organize it and direct it
163.26	and get it going in the world.
166.26	So I thought, okay,
168.26	I have to have some criteria of how to choose work.
171.26	So amongst all the criteria I have,
173.26	there's two main things.
175.26	One of them, I call my Mimaw's Test.
177.26	And what that is
179.26	is I imagine explaining a work of art
181.26	to my grandmother in five minutes,
183.26	and if I can't explain it in five minutes,
185.26	then it's too obtuse
187.26	or esoteric
189.26	and it hasn't been refined enough yet.
191.26	It needs to worked on
193.26	until it can speak fluently.
196.26	And then my other second set of rules --
198.26	"I hate to say ""rules"" because it's art --"
200.26	my criteria would be
202.26	the three H's,
204.26	which is head, heart and hands.
206.26	"And great art would have ""head"":"
209.26	it would have interesting intellectual ideas
211.26	and concepts.
213.26	"It would have ""heart"" in that it would have passion"
216.26	and heart and soul.
218.26	"And it would have ""hand"" in that it would be greatly crafted."
221.26	So I started thinking about
223.26	how am I going to do this biennial,
225.26	how am I going to travel the world
227.26	and find these artists?
229.26	And then I realized one day, there's an easier solution to this.
232.26	I'm just going to make the whole thing myself.
234.26	(Laughter)
236.26	And so this is what I did.
239.26	So I thought, a biennial needs artists.
241.26	I'm going to do an international biennial; I need artists from all around the world.
244.26	So what I did was
246.26	I invented a hundred artists from around the world.
249.26	I figured out their bios, their passions in life
252.26	and their art styles,
254.26	and I started making their work.
257.26	(Laughter)
259.26	(Applause)
262.26	I felt, oh this is the kind of project that I could spend my whole life doing.
265.26	So I decided, I'm going to make this a real biennial.
267.26	It's going to be two years of studio work.
269.26	And I'm going to create this in two years,
271.26	and I have.
275.26	So I should start to talk about these guys.
278.26	Well the range is quite a bit.
280.26	And I'm such a technician, so I loved this project,
282.26	getting to play with all the techniques.
