startsecond	text
0	Translator: Joseph Geni
0	Reviewer: Morton Bast
26.351	(Music by Anna Oxygen)
166.933	"(Music: ""Shells"" by Mirah)"
179.124	♪ You learned how to be a diver ♪
191.708	♪ Put on a mask and believe ♪
201.111	♪ Gather a dinner of shells for me ♪
216.874	♪ Take the tank down so you can breathe ♪
221.956	♪ Below ♪
227.059	♪ Movements slow ♪
247.315	♪ You are an island ♪
257.002	♪ All the secrets until then ♪
263.508	♪ Pried open I held them ♪
272.695	♪ Until they were still ♪
278.823	♪ Until they were still ♪
284.972	♪ Until they were still ♪
313.236	(Music)
336.083	(Music by Caroline Lufkin)
456.502	(Music by Anna Oxygen)
464.249	♪ Dream time, I will find you ♪
470.528	♪ You are shady, you are new ♪
477.578	♪ I'm not so good at mornings ♪
481.45	♪ I can see too clearly ♪
486.25	♪ I prefer the nighttime ♪
490.821	♪ Dark and blurry ♪
496.019	♪ Falling night ♪
504.483	♪ Hovering light ♪
529.723	♪ Calling night ♪
537.819	♪ Hovering light ♪
547.538	♪ In the moontime I will give up my life ♪
554.254	♪ And in the deep dreams ♪
559.001	♪ You will find me ♪
637.649	(Applause)
641.983	"[Excerpts from ""Myth and Infrastructure""]"
646.452	Bruno Giussani: Come back.
650.443	Miwa Matreyek!
655.439	(Applause)
