startsecond	text
15.26	So the Awesome story:
17.26	It begins about 40 years ago,
19.26	when my mom and my dad came to Canada.
22.26	My mom left Nairobi, Kenya.
24.26	My dad left a small village outside of Amritsar, India.
27.26	And they got here in the late 1960s.
30.26	They settled in a shady suburb about an hour east of Toronto,
33.26	and they settled into a new life.
35.26	They saw their first dentist,
37.26	they ate their first hamburger,
39.26	and they had their first kids.
41.26	My sister and I
43.26	grew up here,
45.26	and we had quiet, happy childhoods.
48.26	We had close family,
50.26	good friends, a quiet street.
52.26	We grew up taking for granted
54.26	a lot of the things that my parents couldn't take for granted
56.26	when they grew up --
58.26	things like power always on
60.26	in our houses,
62.26	things like schools across the street
64.26	and hospitals down the road
66.26	and popsicles in the backyard.
68.26	We grew up, and we grew older.
70.26	I went to high school.
72.26	I graduated.
74.26	I moved out of the house, I got a job,
76.26	I found a girl, I settled down --
79.26	and I realize it sounds like a bad sitcom or a Cat Stevens' song --
82.26	(Laughter)
84.26	but life was pretty good.
86.26	Life was pretty good.
91.26	Under clear blue skies in July in the wine region of Ontario,
94.26	I got married,
96.26	surrounded by 150 family and friends.
103.26	I graduated from school,
105.26	and I went on a road trip with two of my closest friends.
108.26	Here's a picture of me and my friend, Chris,
111.26	on the coast of the Pacific Ocean.
113.26	We actually saw seals out of our car window,
115.26	and we pulled over to take a quick picture of them
117.26	and then blocked them with our giant heads.
120.26	(Laughter)
122.26	So you can't actually see them,
124.26	but it was breathtaking,
126.26	believe me.
128.26	(Laughter)
133.26	I know that they were tougher for a lot of people,
135.26	not just me.
137.26	First of all, the news was so heavy.
139.26	It's still heavy now, and it was heavy before that,
142.26	but when you flipped open a newspaper, when you turned on the TV,
145.26	it was about ice caps melting,
147.26	wars going on around the world,
149.26	earthquakes, hurricanes
152.26	and an economy that was wobbling on the brink of collapse,
155.26	and then eventually did collapse,
158.26	and so many of us losing our homes,
160.26	or our jobs,
162.26	or our retirements,
164.26	or our livelihoods.
169.26	I was going through a lot of personal problems at the time.
173.26	My marriage wasn't going well,
176.26	and we just were growing further and further apart.
180.26	One day my wife came home from work
182.26	and summoned the courage, through a lot of tears,
185.26	to have a very honest conversation.
188.26	"And she said, ""I don't love you anymore,"""
191.26	and it was one of the most painful things I'd ever heard
195.26	and certainly the most heartbreaking thing I'd ever heard,
198.26	until only a month later,
200.26	when I heard something even more heartbreaking.
203.26	My friend Chris, who I just showed you a picture of,
205.26	had been battling mental illness for some time.
207.26	And for those of you
209.26	whose lives have been touched by mental illness,
211.26	you know how challenging it can be.
214.26	I spoke to him on the phone at 10:30 p.m.
216.26	on a Sunday night.
218.26	We talked about the TV show we watched that evening.
221.26	And Monday morning, I found out that he disappeared.
224.26	Very sadly, he took his own life.
228.26	And it was a really heavy time.
231.26	And as these dark clouds were circling me,
233.26	and I was finding it really, really difficult
236.26	to think of anything good,
238.26	I said to myself that I really needed a way
241.26	to focus on the positive somehow.
244.26	So I came home from work one night,
246.26	and I logged onto the computer,
248.26	and I started up a tiny website
250.26	called 1000awesomethings.com.
254.26	I was trying to remind myself
256.26	of the simple, universal, little pleasures that we all love,
258.26	but we just don't talk about enough --
260.26	things like waiters and waitresses
262.26	who bring you free refills without asking,
264.26	being the first table to get called up
266.26	to the dinner buffet at a wedding,
268.26	wearing warm underwear from just out of the dryer,
270.26	or when cashiers open up a new check-out lane at the grocery store
272.26	and you get to be first in line --
274.26	even if you were last at the other line, swoop right in there.
277.26	(Laughter)
280.26	And slowly over time,
282.26	I started putting myself in a better mood.
285.26	I mean, 50,000 blogs
288.26	are started a day,
291.26	and so my blog was just one of those 50,000.
294.26	And nobody read it except for my mom.
297.26	Although I should say that my traffic did skyrocket
299.26	and go up by 100 percent
301.26	when she forwarded it to my dad.
303.26	(Laughter)
305.26	And then I got excited
307.26	when it started getting tens of hits,
309.26	and then I started getting excited when it started getting dozens
312.26	and then hundreds and then thousands
315.26	and then millions.
317.26	It started getting bigger and bigger and bigger.
319.26	And then I got a phone call,
321.26	and the voice at the other end of the line said,
323.26	"""You've just won the Best Blog In the World award."""
327.26	I was like, that sounds totally fake.
329.26	(Laughter)
332.26	(Applause)
337.26	Which African country do you want me to wire all my money to?
340.26	(Laughter)
343.26	But it turns out, I jumped on a plane,
345.26	and I ended up walking a red carpet
347.26	between Sarah Silverman and Jimmy Fallon and Martha Stewart.
350.26	And I went onstage to accept a Webby award for Best Blog.
353.26	And the surprise
355.26	and just the amazement of that
357.26	was only overshadowed by my return to Toronto,
360.26	when, in my inbox,
364.26	to talk about putting this into a book.
367.26	Flash-forward to the next year
369.26	"and ""The Book of Awesome"" has now been"
371.26	number one on the bestseller list for 20 straight weeks.
373.26	(Applause)
381.26	But look, I said I wanted to do three things with you today.
383.26	I said I wanted to tell you the Awesome story,
385.26	I wanted to share with you the three As of Awesome,
387.26	and I wanted to leave you with a closing thought.
389.26	So let's talk about those three As.
391.26	Over the last few years,
393.26	I haven't had that much time to really think.
395.26	But lately I have had the opportunity to take a step back
398.26	"and ask myself: ""What is it over the last few years"
401.26	that helped me grow my website,
403.26	"but also grow myself?"""
405.26	And I've summarized those things, for me personally,
407.26	as three As.
409.26	They are Attitude, Awareness
412.26	and Authenticity.
414.26	I'd love to just talk about each one briefly.
418.26	So Attitude:
420.26	Look, we're all going to get lumps,
422.26	and we're all going to get bumps.
424.26	None of us can predict the future, but we do know one thing about it
427.26	and that's that it ain't gonna go according to plan.
430.26	We will all have high highs
432.26	and big days and proud moments
434.26	of smiles on graduation stages,
436.26	father-daughter dances at weddings
438.26	and healthy babies screeching in the delivery room,
441.26	but between those high highs,
443.26	we may also have some lumps and some bumps too.
446.26	It's sad, and it's not pleasant to talk about,
449.26	but your husband might leave you,
452.26	your girlfriend could cheat,
454.26	your headaches might be more serious than you thought,
457.26	or your dog could get hit by a car on the street.
461.26	It's not a happy thought,
463.26	but your kids could get mixed up in gangs
466.26	or bad scenes.
468.26	Your mom could get cancer,
470.26	your dad could get mean.
472.26	And there are times in life
474.26	when you will be tossed in the well, too,
476.26	with twists in your stomach and with holes in your heart,
478.26	and when that bad news washes over you,
480.26	and when that pain sponges and soaks in,
483.26	I just really hope you feel
485.26	like you've always got two choices.
487.26	One, you can swirl and twirl
489.26	and gloom and doom forever,
491.26	or two, you can grieve
493.26	and then face the future
495.26	with newly sober eyes.
497.26	Having a great attitude is about choosing option number two,
500.26	and choosing, no matter how difficult it is,
502.26	no matter what pain hits you,
504.26	choosing to move forward and move on
506.26	and take baby steps into the future.
511.26	"The second ""A"" is Awareness."
515.26	I love hanging out with three year-olds.
518.26	I love the way that they see the world,
520.26	because they're seeing the world for the first time.
522.26	I love the way that they can stare at a bug crossing the sidewalk.
525.26	I love the way that they'll stare slack-jawed
527.26	at their first baseball game
529.26	with wide eyes and a mitt on their hand,
531.26	soaking in the crack of the bat and the crunch of the peanuts
533.26	and the smell of the hotdogs.
535.26	I love the way that they'll spend hours picking dandelions in the backyard
538.26	and putting them into a nice centerpiece
540.26	for Thanksgiving dinner.
542.26	I love the way that they see the world,
544.26	because they're seeing the world
546.26	for the first time.
549.26	Having a sense of awareness
551.26	is just about embracing your inner three year-old.
554.26	Because you all used to be three years old.
556.26	That three-year-old boy is still part of you.
558.26	That three-year-old girl is still part of you.
560.26	They're in there.
562.26	And being aware is just about remembering
565.26	that you saw everything you've seen
567.26	for the first time once, too.
569.26	So there was a time when it was your first time ever
572.26	hitting a string of green lights on the way home from work.
574.26	There was the first time you walked by the open door of a bakery
577.26	and smelt the bakery air,
579.26	or the first time you pulled a 20-dollar bill out of your old jacket pocket
582.26	"and said, ""Found money."""
586.26	"The last ""A"" is Authenticity."
589.26	And for this one, I want to tell you a quick story.
593.26	Let's go all the way back to 1932
595.26	when, on a peanut farm in Georgia,
598.26	a little baby boy named Roosevelt Grier was born.
602.26	Roosevelt Grier, or Rosey Grier, as people used to call him,
605.26	grew up and grew into
607.26	a 300-pound, six-foot-five linebacker in the NFL.
611.26	He's number 76 in the picture.
614.26	"Here he is pictured with the ""fearsome foursome."""
617.26	These were four guys on the L.A. Rams in the 1960s
619.26	you did not want to go up against.
621.26	They were tough football players doing what they love,
624.26	which was crushing skulls
626.26	and separating shoulders on the football field.
628.26	But Rosey Grier also had
630.26	another passion.
632.26	In his deeply authentic self,
635.26	he also loved needlepoint. (Laughter)
639.26	He loved knitting.
641.26	He said that it calmed him down, it relaxed him,
643.26	it took away his fear of flying and helped him meet chicks.
646.26	That's what he said.
649.26	I mean, he loved it so much that, after he retired from the NFL,
651.26	he started joining clubs.
653.26	And he even put out a book
655.26	"called ""Rosey Grier's Needlepoint for Men."""
657.26	(Laughter)
659.26	(Applause)
662.26	It's a great cover.
664.26	If you notice, he's actually needlepointing his own face.
667.26	(Laughter)
669.26	And so what I love about this story
672.26	is that Rosey Grier
674.26	is just such an authentic person,
676.26	and that's what authenticity is all about.
678.26	It's just about being you and being cool with that.
681.26	And I think when you're authentic,
683.26	you end up following your heart,
685.26	and you put yourself in places
687.26	and situations and in conversations
689.26	that you love and that you enjoy.
691.26	You meet people that you like talking to.
693.26	You go places you've dreamt about.
695.26	And you end you end up following your heart
697.26	and feeling very fulfilled.
700.26	So those are the three A's.
703.26	For the closing thought, I want to take you all the way back
705.26	to my parents coming to Canada.
708.26	I don't know what it would feel like
710.26	coming to a new country when you're in your mid-20s.
713.26	I don't know, because I never did it,
715.26	but I would imagine that it would take a great attitude.
718.26	I would imagine that you'd have to be pretty aware of your surroundings
721.26	and appreciating the small wonders
723.26	that you're starting to see in your new world.
726.26	And I think you'd have to be really authentic,
728.26	you'd have to be really true to yourself
730.26	in order to get through what you're being exposed to.
734.26	I'd like to pause my TEDTalk
736.26	for about 10 seconds right now,
738.26	because you don't get many opportunities in life to do something like this,
740.26	and my parents are sitting in the front row.
742.26	So I wanted to ask them to, if they don't mind, stand up.
744.26	And I just wanted to say thank you to you guys.
746.26	(Applause)
765.26	When I was growing up, my dad used to love telling the story
768.26	of his first day in Canada.
770.26	And it's a great story, because what happened was
773.26	he got off the plane at the Toronto airport,
776.26	and he was welcomed by a non-profit group,
778.26	which I'm sure someone in this room runs.
780.26	(Laughter)
782.26	And this non-profit group had a big welcoming lunch
785.26	for all the new immigrants to Canada.
788.26	And my dad says he got off the plane and he went to this lunch
791.26	and there was this huge spread.
793.26	There was bread, there was those little, mini dill pickles,
796.26	there was olives, those little white onions.
798.26	There was rolled up turkey cold cuts,
800.26	rolled up ham cold cuts, rolled up roast beef cold cuts
802.26	and little cubes of cheese.
804.26	There was tuna salad sandwiches and egg salad sandwiches
807.26	and salmon salad sandwiches.
809.26	There was lasagna, there was casseroles,
811.26	there was brownies, there was butter tarts,
814.26	and there was pies, lots and lots of pies.
817.26	And when my dad tells the story, he says,
819.26	"""The craziest thing was, I'd never seen any of that before, except bread."
823.26	(Laughter)
825.26	I didn't know what was meat, what was vegetarian.
827.26	I was eating olives with pie.
829.26	(Laughter)
832.26	"I just couldn't believe how many things you can get here."""
835.26	(Laughter)
837.26	When I was five years old,
839.26	my dad used to take me grocery shopping,
841.26	and he would stare in wonder
843.26	at the little stickers that are on the fruits and vegetables.
846.26	"He would say, ""Look, can you believe they have a mango here from Mexico?"
849.26	They've got an apple here from South Africa.
852.26	"Can you believe they've got a date from Morocco?"""
855.26	"He's like, ""Do you know where Morocco even is?"""
858.26	"And I'd say, ""I'm five. I don't even know where I am."
861.26	"Is this A&amp;P?"""
864.26	"And he'd say, ""I don't know where Morocco is either, but let's find out."""
867.26	And so we'd buy the date, and we'd go home.
869.26	And we'd actually take an atlas off the shelf,
871.26	and we'd flip through until we found this mysterious country.
874.26	And when we did, my dad would say,
876.26	"""Can you believe someone climbed a tree over there,"
878.26	picked this thing off it, put it in a truck,
880.26	drove it all the way to the docks
883.26	and then sailed it all the way
885.26	across the Atlantic Ocean
887.26	and then put it in another truck
889.26	and drove that all the way to a tiny grocery store just outside our house,
892.26	"so they could sell it to us for 25 cents?"""
895.26	"And I'd say, ""I don't believe that."""
897.26	"And he's like, ""I don't believe it either."
899.26	"Things are amazing. There's just so many things to be happy about."""
