startsecond	text
12.48	A hundred years ago this month,
12.48	a 36-year-old Albert Einstein
16.2	stood up in front of the Prussian
16.2	Academy of Sciences in Berlin
19.48	to present a radical new theory
19.48	of space, time and gravity:
23.96	the general theory of relativity.
27	General relativity is unquestionably
27	Einstein's masterpiece,
30.08	a theory which reveals the workings
30.08	of the universe at the grandest scales,
34.08	capturing in one beautiful line of algebra
36.48	everything from why apples fall from trees
36.48	to the beginning of time and space.
	to be a physicist.
44.84	Two new ideas were turning
44.84	the subject on its head.
48.36	One was Einstein's theory of relativity,
50.72	the other was arguably
50.72	even more revolutionary:
53.92	quantum mechanics,
55.4	a mind-meltingly strange
55.4	yet stunningly successful new way
58.96	of understanding the microworld,
58.96	the world of atoms and particles.
63.92	Over the last century,
63.92	these two ideas have utterly transformed
67.6	our understanding of the universe.
69.36	It's thanks to relativity
69.36	and quantum mechanics
71.72	that we've learned
71.72	what the universe is made from,
74.08	how it began
74.08	and how it continues to evolve.
77.36	A hundred years on, we now find ourselves
77.36	at another turning point in physics,
81.68	but what's at stake now
81.68	is rather different.
84.84	The next few years may tell us
84.84	whether we'll be able
87.32	to continue to increase
87.32	our understanding of nature,
90.2	or whether maybe for the first time
90.2	in the history of science,
93.64	we could be facing questions
93.64	that we cannot answer,
97.6	not because we don't have
97.6	the brains or technology,
100.2	but because the laws of physics
100.2	themselves forbid it.
104.56	This is the essential problem:
104.56	the universe is far, far too interesting.
109.16	Relativity and quantum mechanics
109.16	appear to suggest
111.84	that the universe
111.84	should be a boring place.
114.16	It should be dark, lethal and lifeless.
117.08	But when we look around us, we see we live
117.08	in a universe full of interesting stuff,
121.04	full of stars, planets, trees, squirrels.
124.12	The question is, ultimately,
125.64	why does all this interesting stuff exist?
128.96	Why is there something
128.96	rather than nothing?
133.08	This contradiction is the most pressing
133.08	problem in fundamental physics,
136.6	and in the next few years, we may find out
136.6	whether we'll ever be able to solve it.
143.08	At the heart of this problem
143.08	are two numbers,
146.2	two extremely dangerous numbers.
148.72	These are properties of the universe
148.72	that we can measure,
151.44	and they're extremely dangerous
153	because if they were different,
153	even by a tiny bit,
155.44	then the universe as we know it
155.44	would not exist.
158.72	The first of these numbers is associated
158.72	with the discovery that was made
162.2	a few kilometers from this hall,
162.2	at CERN, home of this machine,
165.2	the largest scientific device
165.2	ever built by the human race,
168.28	the Large Hadron Collider.
170.16	The LHC whizzes subatomic particles
170.16	around a 27-kilometer ring,
174.16	getting them closer and closer
174.16	to the speed of light
176.64	before smashing them into each other
176.64	inside gigantic particle detectors.
181.32	On July 4, 2012, physicists
181.32	at CERN announced to the world
185.84	that they'd spotted
185.84	a new fundamental particle
188.4	being created at the violent collisions
188.4	at the LHC: the Higgs boson.
193.44	Now, if you followed the news at the time,
195.52	you'll have seen a lot of physicists
195.52	getting very excited indeed,
198.6	and you'd be forgiven for thinking
200.28	we get that way every time
200.28	we discover a new particle.
202.84	Well, that is kind of true,
204.2	but the Higgs boson
204.2	is particularly special.
206.92	We all got so excited
206.92	because finding the Higgs
209.4	proves the existence
209.4	of a cosmic energy field.
212.76	Now, you may have trouble
212.76	imagining an energy field,
215.4	but we've all experienced one.
216.853	If you've ever held a magnet
216.853	close to a piece of metal
219.413	and felt a force pulling across that gap,
221.56	then you've felt the effect of a field.
223.442	And the Higgs field
223.442	is a little bit like a magnetic field,
226.84	except it has a constant value everywhere.
229.68	It's all around us right now.
231.16	We can't see it or touch it,
232.92	but if it wasn't there,
234.16	we would not exist.
236.2	The Higgs field gives mass
238	to the fundamental particles
238	that we're made from.
240.4	If it wasn't there, those particles
240.4	would have no mass,
243.04	and no atoms could form
243.04	and there would be no us.
246.88	But there is something deeply mysterious
246.88	about the Higgs field.
251.36	Relativity and quantum mechanics tell us
251.36	that it has two natural settings,
255.08	a bit like a light switch.
256.76	It should either be off,
258.16	so that it has a zero value
258.16	everywhere in space,
260.84	or it should be on so it has
260.84	an absolutely enormous value.
264.84	In both of these scenarios,
