startsecond	text
15.728	As a magician, I try to create images
15.728	that make people stop and think.
21.26	I also try to challenge myself
23.26	to do things that doctors
23.26	say are not possible.
27.862	I was buried alive
27.862	in New York City in a coffin,
32.26	buried alive in a coffin
32.26	in April, 1999, for a week.
37.883	I lived there with nothing but water.
41.422	And it ended up being so much fun
44.26	that I decided I could pursue
44.26	doing more of these things.
48.26	The next one is I froze myself
48.26	in a block of ice
51.716	for three days and three nights
51.716	in New York City.
54.26	That one was way more difficult
54.26	than I had expected.
59.26	The one after that, I stood
59.26	on top of a hundred-foot pillar
62.26	for 36 hours.
64.26	I began to hallucinate so hard
66.783	that the buildings that were behind me
66.783	started to look like big animal heads.
71.462	So, next I went to London.
73.26	In London I lived
73.26	in a glass box for 44 days
77.26	with nothing but water.
79.26	It was, for me, one of the most difficult
79.26	things I'd ever done,
82.284	but it was also the most beautiful.
86.26	There was so many skeptics,
86.26	especially the press in London,
89.26	that they started flying cheeseburgers
89.26	on helicopters around my box to tempt me.
95.26	(Laughter)
96.315	So, I felt very validated
99.26	when the New England Journal of Medicine
99.26	actually used the research for science.
105.68	My next pursuit was I wanted to see
105.68	how long I could go without breathing,
109.26	like how long I could survive
109.26	with nothing, not even air.
113.65	I didn't realize that it would become
113.65	the most amazing journey of my life.
120.26	As a young magician,
122.26	I was obsessed with Houdini
122.26	and his underwater challenges.
126.26	So, I began, early on,
126.26	competing against the other kids,
129.26	seeing how long I could stay underwater
129.26	while they went up and down to breathe,
133.26	you know, five times,
133.26	while I stayed under on one breath.
136.26	By the time I was a teenager,
138.26	I was able to hold my breath
138.26	for three minutes and 30 seconds.
141.968	I would later find out
141.968	that was Houdini's personal record.
147.26	In 1987 I heard of a story
150.26	about a boy that fell through ice
150.26	and was trapped under a river.
156.09	He was underneath,
156.09	not breathing for 45 minutes.
161.26	When the rescue workers came,
163.26	they resuscitated him
163.26	and there was no brain damage.
166.26	His core temperature
166.26	had dropped to 77 degrees.
171.486	As a magician,
171.486	I think everything is possible.
174.26	And I think if something
174.26	is done by one person,
176.475	it can be done by others.
178.988	I started to think,
180.394	if the boy could survive
180.394	without breathing for that long,
184.126	there must be a way that I could do it.
186.85	So, I met with a top neurosurgeon.
189.26	And I asked him, how long
189.26	is it possible to go without breathing,
192.498	like how long could I go without air?
194.902	And he said to me that anything
194.902	over six minutes
197.26	you have a serious risk
