startsecond	text
12.877	As a scientist, and also as a human being,
16.12	I've been trying to make myself
18.124	susceptible to wonder.
21.499	I think Jason Webley last night called it
24.368	"""conspiring to be part of the magic."""
28.395	So it's fortunate that my career as a biologist
31.216	lets me dive deeply into the lives
33.86	of some truly wondrous creatures
36.378	that share our planet:
38.757	fireflies.
40.452	Now, for many of you, I know that fireflies
42.735	might conjure up some really great memories:
45.478	childhood, summertime,
48.532	even other TED Talks.
50.302	Maybe something like this.
57.36	My seduction into the world of fireflies
59.815	began when I was back in graduate school.
63.664	One evening, I was sitting out in my backyard
66.488	in North Carolina,
68.426	and suddenly, these silent sparks
73.725	rose up all around me,
75.579	and I began to wonder:
76.961	How do these creatures make light,
79.651	and what's with all this flashing?
81.341	Are they talking to one another?
83.18	And what happens after the lights go out?
86.371	I've been lucky enough to answer
87.662	some of these questions
89.03	as I've explored this nocturnal world.
93.121	Now if you've ever seen
95.46	or even heard about fireflies,
97.561	then you'll know how magically they can transform
100.207	our everyday landscape into something
102.598	ethereal and otherworldly,
104.501	and this happens around the globe,
106.442	like this hillside in the Smoky Mountains
108.532	that I saw transformed into a living cascade of light
112.618	by the eerie glows of these blue ghost fireflies,
116.978	or a roadside river that I visited in Japan
119.998	as it was giving birth to the slow, floating flashes
124.104	of these Genji fireflies,
126.735	or in Malaysia, the mangrove trees
129.297	that I watched blossom nightly
131.625	not with flowers
133.055	but with the lights of a thousand — 
133.055	(Bleep! Bleep!) — fireflies,
135.923	all blinking together
137.253	in stunning synchrony.
140.411	These luminous landscapes
142.507	still fill me with wonder,
144.899	and they keep me connected to the magic
147.419	of the natural world.
149.827	And I find it amazing that they're created
151.443	by these tiny insects.
154.731	In person, fireflies are charming.
157.622	They're charismatic.
159.435	They've been celebrated in art
161.119	and in poetry for centuries.
163.594	As I've traveled around the world,
164.992	I've met many thoughtful people
167.01	who have told me that God put fireflies on Earth
169.839	for humans to enjoy.
171.99	Other creatures can enjoy them too.
174.386	I think these graceful insects are truly miraculous
178.715	because they so beautifully illuminate
182.72	the creative improvisation of evolution.
186.951	They've been shaped by two powerful
188.761	evolutionary forces:
190.292	natural selection, the struggle for survival,
193.952	and sexual selection,
196.101	the struggle for reproductive opportunity.
200.162	As a firefly junkie, the past 20 years
