startsecond	text
0	Translator: Fran Ontanaya
0	Reviewer: Morton Bast
12.051	What I'm going to do is,
12.051	I'm going to explain to you
15.014	an extreme green concept
17.066	that was developed
17.066	at NASA's Glenn Research Center
20.058	in Cleveland, Ohio.
22.06	But before I do that, we have to go over
24.49	the definition of what green is,
26.027	'cause a lot of us have a
26.027	different definition of it.
29.024	Green. The product is created through
31.017	environmentally and socially
31.017	conscious means.
33.48	There's plenty of things that
33.48	are being called green now.
36.668	What does it actually mean?
38.28	We use three metrics to determine green.
41.923	The first metric is: Is it sustainable?
45.015	Which means, are you preserving
45.015	what you are doing for future use
48.539	or for future generations?
51.034	Is it alternative? Is it different
51.034	than what is being used today,
55.007	or does it have a lower carbon footprint
57.812	than what's used conventionally?
60.396	And three: Is it renewable?
63.231	Does it come from Earth's
63.231	natural replenishing resources,
66.987	such as sun, wind and water?
70.087	Now, my task at NASA is to develop
73.619	the next generation of aviation fuels.
76.815	Extreme green. Why aviation?
79.644	The field of aviation uses
79.644	more fuel than just about
83.001	every other combined. We
83.001	need to find an alternative.
88.017	Also it's a national
88.017	aeronautics directive.
91.017	One of the national aeronautics
91.017	goals is to develop
93.685	the next generation of fuels, biofuels,
96.381	using domestic and safe,
96.381	friendly resources.
100.091	Now, combating that challenge
102.959	we have to also meet
102.959	the big three metric —
105.849	Actually, extreme green
105.849	for us is all three together;
109.662	that's why you see the plus
109.662	there. I was told to say that.
112.052	So it has to be the big three at
112.052	GRC. That's another metric.
117.049	Ninety-seven percent of the
117.049	world's water is saltwater.
123	How about we use that?
123	Combine that with number three.
127.01	Do not use arable land.
130.042	Because crops are already
130.042	growing on that land
132.222	that's very scarce around the world.
135.019	Number two: Don't compete with food crops.
138.026	That's already a well established
138.026	entity, they don't need another entry.
142.443	And lastly the most precious
142.443	resource we have on this Earth
146.391	is fresh water. Don't use fresh water.
151.051	If 97.5 percent
151.051	of the world's water is saltwater,
154.022	2.5 percent is fresh water.
154.022	Less than a half percent
157.299	of that is accessible for human use.
159.06	But 60 percent of the population
159.06	lives within that one percent.
163.021	So, combating my problem was,
163.021	now I have to be extreme green
168.013	and meet the big three.
168.013	Ladies and gentlemen,
170.261	welcome to the GreenLab Research Facility.
174.007	This is a facility dedicated
174.007	to the next generation
176.942	of aviation fuels using halophytes.
180.087	A halophyte is a salt-tolerating plant.
183.065	Most plants don't like salt,
183.065	but halophytes tolerate salt.
187.093	We also are using weeds
190.088	and we are also using algae.
193.019	The good thing about our lab is, we've had
195.01	3,600 visitors in the last two years.
198.02	Why do you think that's so?
200.022	Because we are on to something special.
204.028	So, in the lower you see
204.028	the GreenLab obviously,
206.597	and on the right hand
206.597	side you'll see algae.
209.049	If you are into the business
209.049	of the next generation
212.002	of aviation fuels, algae
212.002	is a viable option,
214.322	there's a lot of funding right now,
216.001	and we have an algae to fuels program.
218.022	There's two types of algae growing.
220.022	One is a closed photobioreactor
220.022	that you see here,
223.015	and what you see on the other
223.015	side is our species —
227.036	we are currently using a species
227.036	called Scenedesmus dimorphus.
231.006	Our job at NASA is to take the
231.006	experimental and computational
235.312	and make a better mixing for
235.312	the closed photobioreactors.
240.007	Now the problems with closed
240.007	photobioreactors are:
242.044	They are quite expensive,
242.044	they are automated,
244.775	and it's very difficult
244.775	to get them in large scale.
247.803	So on large scale what do they use?
249.428	We use open pond systems.
249.428	Now, around the world
252.921	they are growing algae,
252.921	with this racetrack design
256.442	that you see here. Looks like an oval with
258.891	a paddle wheel and mixes really well,
261.028	but when it gets around the last turn,
261.028	which I call turn four — it's stagnant.
265.086	We actually have a solution for that.
267.076	In the GreenLab in our open pond system
270.04	we use something that happens
270.04	in nature: waves.
273.055	We actually use wave technology
273.055	on our open pond systems.
276.747	We have 95 percent mixing
276.747	and our lipid content is higher
281.431	than a closed photobioreactor system,
284.049	which we think is significant.
286.03	There is a drawback to algae,
286.03	however: It's very expensive.
290.062	Is there a way to produce
290.062	algae inexpensively?
295.165	And the answer is: yes.
297.026	We do the same thing
297.026	we do with halophytes,
300.049	and that is: climatic adaptation.
304.004	In our GreenLab we have
304.004	six primary ecosystems
306.816	that range from freshwater
306.816	all the way to saltwater.
310.787	What we do: We take a potential
310.787	species, we start at freshwater,
314.546	we add a little bit more salt,
314.546	when the second tank here
317.274	will be the same ecosystem as Brazil —
319.406	right next to the sugar cane
319.406	fields you can have our plants —
322.502	the next tank represents Africa,
322.502	the next tank represents Arizona,
326.745	the next tank represents Florida,
329.056	and the next tank represents
329.056	California or the open ocean.
332.919	What we are trying to do is to
332.919	come up with a single species
337.014	that can survive anywhere in the
337.014	world, where there's barren desert.
343.019	We are being very successful so far.
345.057	Now, here's one of the problems.
347.701	If you are a farmer, you need five things
347.701	to be successful: You need seeds,
353.428	you need soil, you need
353.428	water and you need sun,
357.043	and the last thing that you
357.043	need is fertilizer.
360.613	Most people use chemical fertilizers.
360.613	But guess what?
364.168	We do not use chemical fertilizer.
366.868	Wait a second! I just saw lots of greenery
366.868	in your GreenLab. You have to use fertilizer.
372.023	Believe it or not, in our analysis
372.023	of our saltwater ecosystems
	are in these tanks themselves.
380.028	The 20 percent that's missing
380.028	is nitrogen and phosphorous.
384.027	We have a natural solution: fish.
386.083	No we don't cut up the fish
386.083	and put them in there.
